PassengerId;Survived;Pclass;Name;Sex;Age;Parch;Embarked;Age_group;Sex_num;Family_status
42;0;2;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);female;27.0;0;S;Взрослый (19-40);1;Один(а)
43;0;3;Kraeff, Mr. Theodor;male;25.0;0;C;Взрослый (19-40);0;Один(а)
44;1;2;Laroche, Miss. Simonne Marie Anne Andree;female;3.0;2;C;Ребёнок (0-12);1;С семьёй
45;1;3;Devaney, Miss. Margaret Delia;female;19.0;0;Q;Взрослый (19-40);1;Один(а)
46;0;3;Rogers, Mr. William John;male;25.0;0;S;Взрослый (19-40);0;Один(а)
47;0;3;Lennon, Mr. Denis;male;25.0;0;Q;Взрослый (19-40);0;Один(а)
48;1;3;O'Driscoll, Miss. Bridget;female;22.0;0;Q;Взрослый (19-40);1;Один(а)
49;0;3;Samaan, Mr. Youssef;male;25.0;0;C;Взрослый (19-40);0;Один(а)
50;0;3;Arnold-Franchi, Mrs. Josef (Josefine Franchi);female;18.0;0;S;Подросток (13-18);1;Один(а)
51;0;3;Panula, Master. Juha Niilo;male;7.0;1;S;Ребёнок (0-12);0;С семьёй
52;0;3;Nosworthy, Mr. Richard Cater;male;21.0;0;S;Взрослый (19-40);0;Один(а)
53;1;1;Harper, Mrs. Henry Sleeper (Myna Haxtun);female;49.0;0;C;Средний возраст (41-60);1;Один(а)
54;1;2;Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson);female;29.0;0;S;Взрослый (19-40);1;Один(а)
55;0;1;Ostby, Mr. Engelhart Cornelius;male;65.0;1;C;Пожилой (61+);0;С семьёй
56;1;1;Woolner, Mr. Hugh;male;41.0;0;S;Средний возраст (41-60);0;Один(а)
57;1;2;Rugg, Miss. Emily;female;21.0;0;S;Взрослый (19-40);1;Один(а)
58;0;3;Novel, Mr. Mansouer;male;25.0;0;C;Взрослый (19-40);0;Один(а)
59;1;2;West, Miss. Constance Mirium;female;5.0;2;S;Ребёнок (0-12);1;С семьёй
60;0;3;Goodwin, Master. William Frederick;male;11.0;2;S;Ребёнок (0-12);0;С семьёй
61;0;3;Sirayanian, Mr. Orsen;male;22.0;0;C;Взрослый (19-40);0;Один(а)
62;1;1;Icard, Miss. Amelie;female;38.0;0;S;Взрослый (19-40);1;Один(а)
63;0;1;Harris, Mr. Henry Birkhardt;male;45.0;0;S;Средний возраст (41-60);0;Один(а)
64;0;3;Skoog, Master. Harald;male;4.0;2;S;Ребёнок (0-12);0;С семьёй
65;0;1;Stewart, Mr. Albert A;male;41.0;0;C;Средний возраст (41-60);0;Один(а)
66;1;3;Moubarek, Master. Gerios;male;25.0;1;C;Взрослый (19-40);0;С семьёй
67;1;2;Nye, Mrs. (Elizabeth Ramell);female;29.0;0;S;Взрослый (19-40);1;Один(а)
68;0;3;Crease, Mr. Ernest James;male;19.0;0;S;Взрослый (19-40);0;Один(а)
69;1;3;Andersson, Miss. Erna Alexandra;female;17.0;2;S;Подросток (13-18);1;С семьёй
70;0;3;Kink, Mr. Vincenz;male;26.0;0;S;Взрослый (19-40);0;Один(а)
71;0;2;Jenkin, Mr. Stephen Curnow;male;32.0;0;S;Взрослый (19-40);0;Один(а)
72;0;3;Goodwin, Miss. Lillian Amy;female;16.0;2;S;Подросток (13-18);1;С семьёй
73;0;2;Hood, Mr. Ambrose Jr;male;21.0;0;S;Взрослый (19-40);0;Один(а)
74;0;3;Chronopoulos, Mr. Apostolos;male;26.0;0;C;Взрослый (19-40);0;Один(а)
75;1;3;Bing, Mr. Lee;male;32.0;0;S;Взрослый (19-40);0;Один(а)
76;0;3;Moen, Mr. Sigurd Hansen;male;25.0;0;S;Взрослый (19-40);0;Один(а)
77;0;3;Staneff, Mr. Ivan;male;25.0;0;S;Взрослый (19-40);0;Один(а)
78;0;3;Moutal, Mr. Rahamin Haim;male;25.0;0;S;Взрослый (19-40);0;Один(а)
79;1;2;Caldwell, Master. Alden Gates;male;30.0;2;S;Взрослый (19-40);0;С семьёй
80;1;3;Dowdell, Miss. Elizabeth;female;30.0;0;S;Взрослый (19-40);1;Один(а)
81;0;3;Waelens, Mr. Achille;male;22.0;0;S;Взрослый (19-40);0;Один(а)
82;1;3;Sheerlinck, Mr. Jan Baptist;male;29.0;0;S;Взрослый (19-40);0;Один(а)
83;1;3;McDermott, Miss. Brigdet Delia;female;22.0;0;Q;Взрослый (19-40);1;Один(а)
84;0;1;Carrau, Mr. Francisco M;male;28.0;0;S;Взрослый (19-40);0;Один(а)
85;1;2;Ilett, Miss. Bertha;female;17.0;0;S;Подросток (13-18);1;Один(а)
86;1;3;Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson);female;33.0;0;S;Взрослый (19-40);1;Один(а)
87;0;3;Ford, Mr. William Neal;male;16.0;3;S;Подросток (13-18);0;С семьёй
88;0;3;Slocovski, Mr. Selman Francis;male;25.0;0;S;Взрослый (19-40);0;Один(а)
89;1;1;Fortune, Miss. Mabel Helen;female;23.0;2;S;Взрослый (19-40);1;С семьёй
90;0;3;Celotti, Mr. Francesco;male;24.0;0;S;Взрослый (19-40);0;Один(а)
91;0;3;Christmann, Mr. Emil;male;29.0;0;S;Взрослый (19-40);0;Один(а)
92;0;3;Andreasson, Mr. Paul Edvin;male;20.0;0;S;Взрослый (19-40);0;Один(а)
93;0;1;Chaffee, Mr. Herbert Fuller;male;46.0;0;S;Средний возраст (41-60);0;Один(а)
94;0;3;Dean, Mr. Bertram Frank;male;26.0;2;S;Взрослый (19-40);0;С семьёй
95;0;3;Coxon, Mr. Daniel;male;59.0;0;S;Средний возраст (41-60);0;Один(а)
96;0;3;Shorney, Mr. Charles Joseph;male;25.0;0;S;Взрослый (19-40);0;Один(а)
97;0;1;Goldschmidt, Mr. George B;male;71.0;0;C;Пожилой (61+);0;Один(а)
98;1;1;Greenfield, Mr. William Bertram;male;23.0;1;C;Взрослый (19-40);0;С семьёй
99;1;2;Doling, Mrs. John T (Ada Julia Bone);female;34.0;1;S;Взрослый (19-40);1;С семьёй
100;0;2;Kantor, Mr. Sinai;male;34.0;0;S;Взрослый (19-40);0;Один(а)
101;0;3;Petranec, Miss. Matilda;female;28.0;0;S;Взрослый (19-40);1;Один(а)
102;0;3;"Petroff, Mr. Pastcho (""Pentcho"")";male;25.0;0;S;Взрослый (19-40);0;Один(а)
103;0;1;White, Mr. Richard Frasar;male;21.0;1;S;Взрослый (19-40);0;С семьёй
104;0;3;Johansson, Mr. Gustaf Joel;male;33.0;0;S;Взрослый (19-40);0;Один(а)
105;0;3;Gustafsson, Mr. Anders Vilhelm;male;37.0;0;S;Взрослый (19-40);0;Один(а)
106;0;3;Mionoff, Mr. Stoytcho;male;28.0;0;S;Взрослый (19-40);0;Один(а)
107;1;3;Salkjelsvik, Miss. Anna Kristine;female;21.0;0;S;Взрослый (19-40);1;Один(а)
108;1;3;Moss, Mr. Albert Johan;male;25.0;0;S;Взрослый (19-40);0;Один(а)
109;0;3;Rekic, Mr. Tido;male;38.0;0;S;Взрослый (19-40);0;Один(а)
110;1;3;Moran, Miss. Bertha;female;22.0;0;Q;Взрослый (19-40);1;Один(а)
111;0;1;Porter, Mr. Walter Chamberlain;male;47.0;0;S;Средний возраст (41-60);0;Один(а)
112;0;3;Zabour, Miss. Hileni;female;22.0;0;C;Взрослый (19-40);1;Один(а)
113;0;3;Barton, Mr. David John;male;22.0;0;S;Взрослый (19-40);0;Один(а)
114;0;3;Jussila, Miss. Katriina;female;20.0;0;S;Взрослый (19-40);1;Один(а)
115;0;3;Attalah, Miss. Malake;female;17.0;0;C;Подросток (13-18);1;Один(а)
116;0;3;Pekoniemi, Mr. Edvard;male;21.0;0;S;Взрослый (19-40);0;Один(а)
117;0;3;Connors, Mr. Patrick;male;70.0;0;Q;Пожилой (61+);0;Один(а)
118;0;2;Turpin, Mr. William John Robert;male;29.0;0;S;Взрослый (19-40);0;Один(а)
119;0;1;Baxter, Mr. Quigg Edmond;male;24.0;1;C;Взрослый (19-40);0;С семьёй
120;0;3;Andersson, Miss. Ellis Anna Maria;female;2.0;2;S;Ребёнок (0-12);1;С семьёй
121;0;2;Hickman, Mr. Stanley George;male;21.0;0;S;Взрослый (19-40);0;Один(а)
122;0;3;Moore, Mr. Leonard Charles;male;25.0;0;S;Взрослый (19-40);0;Один(а)
123;0;2;Nasser, Mr. Nicholas;male;32.0;0;C;Взрослый (19-40);0;Один(а)
124;1;2;Webber, Miss. Susan;female;32.0;0;S;Взрослый (19-40);1;Один(а)
125;0;1;White, Mr. Percival Wayland;male;54.0;1;S;Средний возраст (41-60);0;С семьёй
126;1;3;Nicola-Yarred, Master. Elias;male;12.0;0;C;Ребёнок (0-12);0;Один(а)
127;0;3;McMahon, Mr. Martin;male;25.0;0;Q;Взрослый (19-40);0;Один(а)
128;1;3;Madsen, Mr. Fridtjof Arne;male;24.0;0;S;Взрослый (19-40);0;Один(а)
129;1;3;Peter, Miss. Anna;female;22.0;1;C;Взрослый (19-40);1;С семьёй
130;0;3;Ekstrom, Mr. Johan;male;45.0;0;S;Средний возраст (41-60);0;Один(а)
131;0;3;Drazenoic, Mr. Jozef;male;33.0;0;C;Взрослый (19-40);0;Один(а)
132;0;3;Coelho, Mr. Domingos Fernandeo;male;20.0;0;S;Взрослый (19-40);0;Один(а)
133;0;3;Robins, Mrs. Alexander A (Grace Charity Laury);female;47.0;0;S;Средний возраст (41-60);1;Один(а)
134;1;2;Weisz, Mrs. Leopold (Mathilde Francoise Pede);female;29.0;0;S;Взрослый (19-40);1;Один(а)
135;0;2;Sobey, Mr. Samuel James Hayden;male;25.0;0;S;Взрослый (19-40);0;Один(а)
136;0;2;Richard, Mr. Emile;male;23.0;0;C;Взрослый (19-40);0;Один(а)
137;1;1;Newsom, Miss. Helen Monypeny;female;19.0;2;S;Взрослый (19-40);1;С семьёй
138;0;1;Futrelle, Mr. Jacques Heath;male;37.0;0;S;Взрослый (19-40);0;Один(а)
139;0;3;Osen, Mr. Olaf Elon;male;16.0;0;S;Подросток (13-18);0;Один(а)
140;0;1;Giglio, Mr. Victor;male;24.0;0;C;Взрослый (19-40);0;Один(а)
141;0;3;Boulos, Mrs. Joseph (Sultana);female;22.0;2;C;Взрослый (19-40);1;С семьёй
142;1;3;Nysten, Miss. Anna Sofia;female;22.0;0;S;Взрослый (19-40);1;Один(а)
143;1;3;Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck);female;24.0;0;S;Взрослый (19-40);1;Один(а)
144;0;3;Burke, Mr. Jeremiah;male;19.0;0;Q;Взрослый (19-40);0;Один(а)
145;0;2;Andrew, Mr. Edgardo Samuel;male;18.0;0;S;Подросток (13-18);0;Один(а)
146;0;2;Nicholls, Mr. Joseph Charles;male;19.0;1;S;Взрослый (19-40);0;С семьёй
147;1;3;"Andersson, Mr. August Edvard (""Wennerstrom"")";male;27.0;0;S;Взрослый (19-40);0;Один(а)
148;0;3;"Ford, Miss. Robina Maggie ""Ruby""";female;9.0;2;S;Ребёнок (0-12);1;С семьёй
149;0;2;"Navratil, Mr. Michel (""Louis M Hoffman"")";male;36.0;2;S;Взрослый (19-40);0;С семьёй
150;0;2;Byles, Rev. Thomas Roussel Davids;male;42.0;0;S;Средний возраст (41-60);0;Один(а)
151;0;2;Bateman, Rev. Robert James;male;51.0;0;S;Средний возраст (41-60);0;Один(а)
152;1;1;Pears, Mrs. Thomas (Edith Wearne);female;22.0;0;S;Взрослый (19-40);1;Один(а)
153;0;3;Meo, Mr. Alfonzo;male;55.0;0;S;Средний возраст (41-60);0;Один(а)
154;0;3;van Billiard, Mr. Austin Blyler;male;40.0;2;S;Взрослый (19-40);0;С семьёй
155;0;3;Olsen, Mr. Ole Martin;male;25.0;0;S;Взрослый (19-40);0;Один(а)
156;0;1;Williams, Mr. Charles Duane;male;51.0;1;C;Средний возраст (41-60);0;С семьёй
157;1;3;"Gilnagh, Miss. Katherine ""Katie""";female;16.0;0;Q;Подросток (13-18);1;Один(а)
158;0;3;Corn, Mr. Harry;male;30.0;0;S;Взрослый (19-40);0;Один(а)
159;0;3;Smiljanic, Mr. Mile;male;25.0;0;S;Взрослый (19-40);0;Один(а)
160;0;3;Sage, Master. Thomas Henry;male;25.0;2;S;Взрослый (19-40);0;С семьёй
161;0;3;Cribb, Mr. John Hatfield;male;44.0;1;S;Средний возраст (41-60);0;С семьёй
162;1;2;"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)";female;40.0;0;S;Взрослый (19-40);1;Один(а)
163;0;3;Bengtsson, Mr. John Viktor;male;26.0;0;S;Взрослый (19-40);0;Один(а)
164;0;3;Calic, Mr. Jovo;male;17.0;0;S;Подросток (13-18);0;Один(а)
165;0;3;Panula, Master. Eino Viljami;male;1.0;1;S;Ребёнок (0-12);0;С семьёй
166;1;3;"Goldsmith, Master. Frank John William ""Frankie""";male;9.0;2;S;Ребёнок (0-12);0;С семьёй
167;1;1;Chibnall, Mrs. (Edith Martha Bowerman);female;35.0;1;S;Взрослый (19-40);1;С семьёй
168;0;3;Skoog, Mrs. William (Anna Bernhardina Karlsson);female;45.0;4;S;Средний возраст (41-60);1;С семьёй
169;0;1;Baumann, Mr. John D;male;41.0;0;S;Средний возраст (41-60);0;Один(а)
170;0;3;Ling, Mr. Lee;male;28.0;0;S;Взрослый (19-40);0;Один(а)
171;0;1;Van der hoef, Mr. Wyckoff;male;61.0;0;S;Пожилой (61+);0;Один(а)
172;0;3;Rice, Master. Arthur;male;4.0;1;Q;Ребёнок (0-12);0;С семьёй
173;1;3;Johnson, Miss. Eleanor Ileen;female;1.0;1;S;Ребёнок (0-12);1;С семьёй
174;0;3;Sivola, Mr. Antti Wilhelm;male;21.0;0;S;Взрослый (19-40);0;Один(а)
175;0;1;Smith, Mr. James Clinch;male;56.0;0;C;Средний возраст (41-60);0;Один(а)
176;0;3;Klasen, Mr. Klas Albin;male;18.0;1;S;Подросток (13-18);0;С семьёй
177;0;3;Lefebre, Master. Henry Forbes;male;25.0;1;S;Взрослый (19-40);0;С семьёй
178;0;1;Isham, Miss. Ann Elizabeth;female;50.0;0;C;Средний возраст (41-60);1;Один(а)
179;0;2;Hale, Mr. Reginald;male;30.0;0;S;Взрослый (19-40);0;Один(а)
180;0;3;Leonard, Mr. Lionel;male;36.0;0;S;Взрослый (19-40);0;Один(а)
181;0;3;Sage, Miss. Constance Gladys;female;22.0;2;S;Взрослый (19-40);1;С семьёй
182;0;2;Pernot, Mr. Rene;male;30.0;0;C;Взрослый (19-40);0;Один(а)
183;0;3;Asplund, Master. Clarence Gustaf Hugo;male;9.0;2;S;Ребёнок (0-12);0;С семьёй
184;1;2;Becker, Master. Richard F;male;1.0;1;S;Ребёнок (0-12);0;С семьёй
185;1;3;Kink-Heilmann, Miss. Luise Gretchen;female;4.0;2;S;Ребёнок (0-12);1;С семьёй
186;0;1;Rood, Mr. Hugh Roscoe;male;41.0;0;S;Средний возраст (41-60);0;Один(а)
187;1;3;"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)";female;22.0;0;Q;Взрослый (19-40);1;Один(а)
188;1;1;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";male;45.0;0;S;Средний возраст (41-60);0;Один(а)
189;0;3;Bourke, Mr. John;male;40.0;1;Q;Взрослый (19-40);0;С семьёй
190;0;3;Turcin, Mr. Stjepan;male;36.0;0;S;Взрослый (19-40);0;Один(а)
191;1;2;Pinsky, Mrs. (Rosa);female;32.0;0;S;Взрослый (19-40);1;Один(а)
192;0;2;Carbines, Mr. William;male;19.0;0;S;Взрослый (19-40);0;Один(а)
193;1;3;Andersen-Jensen, Miss. Carla Christine Nielsine;female;19.0;0;S;Взрослый (19-40);1;Один(а)
194;1;2;Navratil, Master. Michel M;male;3.0;1;S;Ребёнок (0-12);0;С семьёй
195;1;1;Brown, Mrs. James Joseph (Margaret Tobin);female;44.0;0;C;Средний возраст (41-60);1;Один(а)
196;1;1;Lurette, Miss. Elise;female;58.0;0;C;Средний возраст (41-60);1;Один(а)
197;0;3;Mernagh, Mr. Robert;male;25.0;0;Q;Взрослый (19-40);0;Один(а)
198;0;3;Olsen, Mr. Karl Siegwart Andreas;male;42.0;1;S;Средний возраст (41-60);0;С семьёй
199;1;3;"Madigan, Miss. Margaret ""Maggie""";female;22.0;0;Q;Взрослый (19-40);1;Один(а)
200;0;2;"Yrois, Miss. Henriette (""Mrs Harbeck"")";female;24.0;0;S;Взрослый (19-40);1;Один(а)
201;0;3;Vande Walle, Mr. Nestor Cyriel;male;28.0;0;S;Взрослый (19-40);0;Один(а)
202;0;3;Sage, Mr. Frederick;male;25.0;2;S;Взрослый (19-40);0;С семьёй
203;0;3;Johanson, Mr. Jakob Alfred;male;34.0;0;S;Взрослый (19-40);0;Один(а)
204;0;3;Youseff, Mr. Gerious;male;45.0;0;C;Средний возраст (41-60);0;Один(а)
205;1;3;"Cohen, Mr. Gurshon ""Gus""";male;18.0;0;S;Подросток (13-18);0;Один(а)
206;0;3;Strom, Miss. Telma Matilda;female;2.0;1;S;Ребёнок (0-12);1;С семьёй
207;0;3;Backstrom, Mr. Karl Alfred;male;32.0;0;S;Взрослый (19-40);0;Один(а)
208;1;3;Albimona, Mr. Nassef Cassem;male;26.0;0;C;Взрослый (19-40);0;Один(а)
209;1;3;"Carr, Miss. Helen ""Ellen""";female;16.0;0;Q;Подросток (13-18);1;Один(а)
210;1;1;Blank, Mr. Henry;male;40.0;0;C;Взрослый (19-40);0;Один(а)
211;0;3;Ali, Mr. Ahmed;male;24.0;0;S;Взрослый (19-40);0;Один(а)
212;1;2;Cameron, Miss. Clear Annie;female;35.0;0;S;Взрослый (19-40);1;Один(а)
213;0;3;Perkin, Mr. John Henry;male;22.0;0;S;Взрослый (19-40);0;Один(а)
214;0;2;Givard, Mr. Hans Kristensen;male;30.0;0;S;Взрослый (19-40);0;Один(а)
215;0;3;Kiernan, Mr. Philip;male;25.0;0;Q;Взрослый (19-40);0;Один(а)
216;1;1;Newell, Miss. Madeleine;female;31.0;0;C;Взрослый (19-40);1;Один(а)
217;1;3;Honkanen, Miss. Eliina;female;27.0;0;S;Взрослый (19-40);1;Один(а)
218;0;2;Jacobsohn, Mr. Sidney Samuel;male;42.0;0;S;Средний возраст (41-60);0;Один(а)
219;1;1;Bazzani, Miss. Albina;female;32.0;0;C;Взрослый (19-40);1;Один(а)
220;0;2;Harris, Mr. Walter;male;30.0;0;S;Взрослый (19-40);0;Один(а)
221;1;3;Sunderland, Mr. Victor Francis;male;16.0;0;S;Подросток (13-18);0;Один(а)
222;0;2;Bracken, Mr. James H;male;27.0;0;S;Взрослый (19-40);0;Один(а)
223;0;3;Green, Mr. George Henry;male;51.0;0;S;Средний возраст (41-60);0;Один(а)
224;0;3;Nenkoff, Mr. Christo;male;25.0;0;S;Взрослый (19-40);0;Один(а)
225;1;1;Hoyt, Mr. Frederick Maxfield;male;38.0;0;S;Взрослый (19-40);0;Один(а)
226;0;3;Berglund, Mr. Karl Ivar Sven;male;22.0;0;S;Взрослый (19-40);0;Один(а)
227;1;2;Mellors, Mr. William John;male;19.0;0;S;Взрослый (19-40);0;Один(а)
228;0;3;"Lovell, Mr. John Hall (""Henry"")";male;25.0;0;S;Взрослый (19-40);0;Один(а)
229;0;2;Fahlstrom, Mr. Arne Jonas;male;18.0;0;S;Подросток (13-18);0;Один(а)
230;0;3;Lefebre, Miss. Mathilde;female;22.0;1;S;Взрослый (19-40);1;С семьёй
231;1;1;Harris, Mrs. Henry Birkhardt (Irene Wallach);female;35.0;0;S;Взрослый (19-40);1;Один(а)
232;0;3;Larsson, Mr. Bengt Edvin;male;29.0;0;S;Взрослый (19-40);0;Один(а)
233;0;2;Sjostedt, Mr. Ernst Adolf;male;59.0;0;S;Средний возраст (41-60);0;Один(а)
234;1;3;Asplund, Miss. Lillian Gertrud;female;5.0;2;S;Ребёнок (0-12);1;С семьёй
235;0;2;Leyson, Mr. Robert William Norman;male;24.0;0;S;Взрослый (19-40);0;Один(а)
236;0;3;Harknett, Miss. Alice Phoebe;female;22.0;0;S;Взрослый (19-40);1;Один(а)
237;0;2;Hold, Mr. Stephen;male;44.0;0;S;Средний возраст (41-60);0;Один(а)
238;1;2;"Collyer, Miss. Marjorie ""Lottie""";female;8.0;2;S;Ребёнок (0-12);1;С семьёй
239;0;2;Pengelly, Mr. Frederick William;male;19.0;0;S;Взрослый (19-40);0;Один(а)
240;0;2;Hunt, Mr. George Henry;male;33.0;0;S;Взрослый (19-40);0;Один(а)
241;0;3;Zabour, Miss. Thamine;female;22.0;0;C;Взрослый (19-40);1;Один(а)
242;1;3;"Murphy, Miss. Katherine ""Kate""";female;22.0;0;Q;Взрослый (19-40);1;Один(а)
243;0;2;Coleridge, Mr. Reginald Charles;male;29.0;0;S;Взрослый (19-40);0;Один(а)
244;0;3;Maenpaa, Mr. Matti Alexanteri;male;22.0;0;S;Взрослый (19-40);0;Один(а)
245;0;3;Attalah, Mr. Sleiman;male;30.0;0;C;Взрослый (19-40);0;Один(а)
246;0;1;Minahan, Dr. William Edward;male;44.0;0;Q;Средний возраст (41-60);0;Один(а)
247;0;3;Lindahl, Miss. Agda Thorilda Viktoria;female;25.0;0;S;Взрослый (19-40);1;Один(а)
248;1;2;Hamalainen, Mrs. William (Anna);female;24.0;2;S;Взрослый (19-40);1;С семьёй
249;1;1;Beckwith, Mr. Richard Leonard;male;37.0;1;S;Взрослый (19-40);0;С семьёй
250;0;2;Carter, Rev. Ernest Courtenay;male;54.0;0;S;Средний возраст (41-60);0;Один(а)
251;0;3;Reed, Mr. James George;male;25.0;0;S;Взрослый (19-40);0;Один(а)
252;0;3;Strom, Mrs. Wilhelm (Elna Matilda Persson);female;29.0;1;S;Взрослый (19-40);1;С семьёй
253;0;1;Stead, Mr. William Thomas;male;62.0;0;S;Пожилой (61+);0;Один(а)
254;0;3;Lobb, Mr. William Arthur;male;30.0;0;S;Взрослый (19-40);0;Один(а)
255;0;3;Rosblom, Mrs. Viktor (Helena Wilhelmina);female;41.0;2;S;Средний возраст (41-60);1;С семьёй
256;1;3;Touma, Mrs. Darwis (Hanne Youssef Razi);female;29.0;2;C;Взрослый (19-40);1;С семьёй
257;1;1;Thorne, Mrs. Gertrude Maybelle;female;35.0;0;C;Взрослый (19-40);1;Один(а)
258;1;1;Cherry, Miss. Gladys;female;30.0;0;S;Взрослый (19-40);1;Один(а)
259;1;1;Ward, Miss. Anna;female;35.0;0;C;Взрослый (19-40);1;Один(а)
260;1;2;Parrish, Mrs. (Lutie Davis);female;50.0;1;S;Средний возраст (41-60);1;С семьёй
261;0;3;Smith, Mr. Thomas;male;25.0;0;Q;Взрослый (19-40);0;Один(а)
262;1;3;Asplund, Master. Edvin Rojj Felix;male;3.0;2;S;Ребёнок (0-12);0;С семьёй
263;0;1;Taussig, Mr. Emil;male;52.0;1;S;Средний возраст (41-60);0;С семьёй
264;0;1;Harrison, Mr. William;male;40.0;0;S;Взрослый (19-40);0;Один(а)
265;0;3;Henry, Miss. Delia;female;22.0;0;Q;Взрослый (19-40);1;Один(а)
266;0;2;Reeves, Mr. David;male;36.0;0;S;Взрослый (19-40);0;Один(а)
267;0;3;Panula, Mr. Ernesti Arvid;male;16.0;1;S;Подросток (13-18);0;С семьёй
